x,p,U_0,U_1,U_2
-5,100000,0,0,0
-4.94975,100000,-8.12681e-14,0,0
-4.8995,100000,-1.19362e-13,0,0
-4.84925,100000,-1.56846e-13,0,0
-4.79899,100000,-1.54227e-13,0,0
-4.74874,100000,-1.51018e-13,0,0
-4.69849,100000,-1.24762e-13,0,0
-4.64824,100000,-9.94588e-14,0,0
-4.59799,100000,-1.00446e-13,0,0
-4.54774,100000,-1.02011e-13,0,0
-4.49749,100000,-1.15824e-13,0,0
-4.44724,100000,-1.29423e-13,0,0
-4.39698,100000,-1.39353e-13,0,0
-4.34673,100000,-1.46392e-13,0,0
-4.29648,100000,-1.11831e-13,0,0
-4.24623,100000,-7.75335e-14,0,0
-4.19598,100000,-4.64788e-14,0,0
-4.14573,100000,-1.86839e-14,0,0
-4.09548,100000,-2.5981e-14,0,0
-4.04523,100000,-3.50568e-14,0,0
-3.99497,100000,-6.10768e-14,0,0
-3.94472,100000,-8.79183e-14,0,0
-3.89447,100000,-1.21762e-13,0,0
-3.84422,100000,-1.51729e-13,0,0
-3.79397,100000,-1.5186e-13,0,0
-3.74372,100000,-1.51984e-13,0,0
-3.69347,100000,-1.52059e-13,0,0
-3.64322,100000,-1.49352e-13,0,0
-3.59296,100000,-1.28829e-13,0,0
-3.54271,100000,-1.12568e-13,0,0
-3.49246,100000,-1.21438e-13,0,0
-3.44221,100000,-1.28804e-13,0,0
-3.39196,100000,-1.27976e-13,0,0
-3.34171,100000,-1.20773e-13,0,0
-3.29146,100000,-8.13048e-14,0,0
-3.24121,100000,-4.0232e-14,0,0
-3.19095,100000,8.40786e-15,0,0
-3.1407,100000,4.28202e-14,0,0
-3.09045,100000,1.4555e-14,0,0
-3.0402,100000,-1.37564e-14,0,0
-2.98995,100000,-4.22585e-14,0,0
-2.9397,100000,-6.72009e-14,0,0
-2.88945,100000,-7.83395e-14,0,0
-2.8392,100000,-8.37117e-14,0,0
-2.78894,100000,-6.80303e-14,0,0
-2.73869,100000,-5.85812e-14,0,0
-2.68844,100000,-7.05991e-14,0,0
-2.63819,100000,-7.52098e-14,0,0
-2.58794,100000,-5.57074e-14,0,0
-2.53769,100000,-4.13646e-14,0,0
-2.48744,100000,-4.29215e-14,0,0
-2.43719,100000,-5.5874e-14,0,0
-2.38693,100000,-1.0212e-13,0,0
-2.33668,100000,-1.45874e-13,0,0
-2.28643,100000,-1.82718e-13,0,0
-2.23618,100000,-2.19426e-13,0,0
-2.18593,100000,-2.55774e-13,0,0
-2.13568,100000,-1.91159e-13,0,0
-2.08543,100000,1.26748e-13,0,0
-2.03518,100000,4.48685e-11,0,0
-1.98492,100000,1.95776e-10,0,0
-1.93467,100000,2.091e-08,0,0
-1.88442,100000,8.84816e-08,0,0
-1.83417,100000,6.37834e-06,0,0
-1.78392,100000,2.61992e-05,0,0
-1.73367,99999.8,0.000978566,0,0
-1.68342,99999.2,0.00386776,0,0
-1.63317,99984,0.0550447,0,0
-1.58291,99939.6,0.202076,0,0
-1.53266,99679.9,0.954825,0,0
-1.48241,99011.2,2.85756,0,0
-1.43216,97683.2,6.54428,0,0
-1.38191,95157.5,13.4723,0,0
-1.33166,92186.3,21.7781,0,0
-1.28141,88440.1,32.4806,0,0
-1.23116,84762.7,43.277,0,0
-1.1809,81199.8,54.2298,0,0
-1.13065,77867.6,64.9238,0,0
-1.0804,74903.8,75.2044,0,0
-1.03015,71988.2,85.1327,0,0
-0.979899,69146.5,94.5212,0,0
-0.929648,66613.6,104.172,0,0
-0.879397,64534.3,114.21,0,0
-0.829146,62047.6,123.66,0,0
-0.778894,58986.7,132.284,0,0
-0.728643,56806.9,141.801,0,0
-0.678392,55819,152.524,0,0
-0.628141,53822.5,162.313,0,0
-0.577889,50516.1,170.888,0,0
-0.527638,48357.3,179.133,0,0
-0.477387,47629.9,186.967,0,0
-0.427136,46295.5,196.349,0,0
-0.376884,44234,207.587,0,0
-0.326633,42541.4,217.9,0,0
-0.276382,41273,227.148,0,0
-0.226131,39488.1,235.151,0,0
-0.175879,37132.3,241.78,0,0
-0.125628,35467.9,249.266,0,0
-0.0753769,34537.6,257.663,0,0
-0.0251256,33809.7,267.718,0,0
0.0251256,33288,279.464,0,0
0.0753769,32781.4,287.254,0,0
0.125628,32289.4,291.168,0,0
0.175879,31841.2,290.488,0,0
0.226131,31434,285.483,0,0
0.276382,31211.4,281.606,0,0
0.326633,31155.6,278.749,0,0
0.376884,31313.8,278.306,0,0
0.427136,31657.9,279.961,0,0
0.477387,32004.4,282.562,0,0
0.527638,32353,285.953,0,0
0.577889,32460.5,287.409,0,0
0.628141,32374.8,287.312,0,0
0.678392,32061.9,285.145,0,0
0.728643,31574.1,281.384,0,0
0.778894,31317.3,278.805,0,0
0.829146,31231.1,277.101,0,0
0.879397,31264.5,276.825,0,0
0.929648,31382.7,277.561,0,0
0.979899,31497.4,278.4,0,0
1.03015,31609.7,279.307,0,0
1.0804,31828.9,281.03,0,0
1.13065,32117.8,283.285,0,0
1.1809,32338.2,285.024,0,0
1.23116,32515.7,286.438,0,0
1.28141,32430.4,285.806,0,0
1.33166,32187.4,283.945,0,0
1.38191,31780.2,280.781,0,0
1.43216,31278.6,276.868,0,0
1.48241,31048.5,275.038,0,0
1.53266,30967.7,274.353,0,0
1.58291,30983.8,274.381,0,0
1.63317,31050.9,274.785,0,0
1.68342,31528.9,278.567,0,0
1.73367,32213.7,284.051,0,0
1.78392,32903,289.511,0,0
1.83417,33594.3,294.96,0,0
1.88442,32493.7,286.905,0,0
1.93467,30569.1,272.64,0,0
1.98492,24591.5,208.06,0,0
2.03518,16835.4,121.398,0,0
2.08543,12948.6,62.3919,0,0
2.13568,10681,14.9582,0,0
2.18593,10022.2,0.922751,0,0
2.23618,10004.8,0.199882,0,0
2.28643,10000,0.000694664,0,0
2.33668,10000,0.000145636,0,0
2.38693,10000,9.03494e-08,0,0
2.43719,10000,1.83693e-08,0,0
2.48744,10000,9.01972e-12,0,0
2.53769,10000,1.81431e-12,0,0
2.58794,10000,5.42033e-14,0,0
2.63819,10000,6.11142e-14,0,0
2.68844,10000,7.64283e-14,0,0
2.73869,10000,9.43236e-14,0,0
2.78894,10000,4.0604e-14,0,0
2.8392,10000,-3.39071e-14,0,0
2.88945,10000,-7.69989e-14,0,0
2.9397,10000,-1.11485e-13,0,0
2.98995,10000,-6.24293e-14,0,0
3.0402,10000,8.16929e-15,0,0
3.09045,10000,2.00876e-14,0,0
3.1407,10000,1.77915e-14,0,0
